id,sistema,etapa,accion_usuario
PORTAL-001,PORTAL,Solicitud del servicio,Buscar una solicitud de servicio
PORTAL-002,PORTAL,Solicitud del servicio,Solicitar un requerimiento
PORTAL-003,PORTAL,Solicitud del servicio,Solicitar una correción
PORTAL-004,PORTAL,Solicitud del servicio,Hacer una consulta
PORTAL-005,PORTAL,Dashboard,Consultar cotizaciones pendientes de aprobar
PORTAL-006,PORTAL,Dashboard,Estado actual de las solicitudes de servicio
PORTAL-007,PORTAL,Dashboard,Solicitudes pendientes de cerrar
PORTAL-008,PORTAL,Seguimiento a una solicitud de servicio,Ver detalle en modo lectura de una solicitud de servicio seleccionada
PORTAL-009,PORTAL,Seguimiento a una solicitud de servicio,Editar una solicitud de servicio seleccionada
PORTAL-010,PORTAL,Seguimiento a una solicitud de servicio,Consultar una mesa de discusión de una solicitud de servicio seleccionada
PORTAL-011,PORTAL,Seguimiento a una solicitud de servicio,Crear un comentario en una mesa de discusión
PORTAL-012,PORTAL,Seguimiento a una solicitud de servicio,"Ver, editar o eliminar un comentario en una mesa de discusión"
PORTAL-013,PORTAL,Seguimiento a una solicitud de servicio,Adjuntar un archivo a un comentario en una mesa de discusión
PORTAL-014,PORTAL,Funcionalidades generales,Cambiar contraseña
PORTAL-015,PORTAL,Funcionalidades generales,Autenticarse
PORTAL-016,PORTAL,Funcionalidades generales,Autorizar el acceso a cada funcionalidad
PORTAL-017,PORTAL,Funcionalidades generales,Notificar sobre cambios en solicitudes de servicio y otros eventos
PORTAL-018,PORTAL,Nuevas funcionalidades extraídas del prototipo (pendientes de clasificar),Consultar minutas compartidas sobre reuniones
ERP-001,ERP,Administración de actores del sistema,Buscar usuarios
ERP-002,ERP,Administración de actores del sistema,Crear un usuario interno o externo
ERP-003,ERP,Administración de actores del sistema,"Ver, editar o eliminar un usuario interno o externo"
ERP-004,ERP,Administración de actores del sistema,Cambiar contraseña de un usuario
ERP-005,ERP,Administración de actores del sistema,Asociar o desasociar roles de acceso a un usuario
ERP-006,ERP,Administración de actores del sistema,Buscar clientes
ERP-007,ERP,Administración de actores del sistema,Crear un cliente
ERP-008,ERP,Administración de actores del sistema,"Ver, editar o eliminar un cliente"
ERP-009,ERP,Administración de actores del sistema,Asociar y desasociar usuarios a un cliente
ERP-010,ERP,Administración de actores del sistema,Crear una audiencia de usuarios de un cliente para notificaciones
ERP-011,ERP,Administración de actores del sistema,"Ver, editar o eliminar una audiencia de usuarios de un cliente para notificaciones"
ERP-012,ERP,Administración de actores del sistema,Buscar roles de acceso
ERP-013,ERP,Administración de actores del sistema,Crear un rol de acceso para usuarios internos
ERP-014,ERP,Administración de actores del sistema,Crear un rol d acceso para usuarios externos
ERP-015,ERP,Administración de actores del sistema,"Ver, editar o eliminar un rol para usuarios internos o externos"
ERP-016,ERP,Administración de actores del sistema,Buscar equipos de trabajo
ERP-017,ERP,Administración de actores del sistema,Crear un equipo de trabajo
ERP-018,ERP,Administración de actores del sistema,"Ver, editar o eliminar un equipo de trabajo"
ERP-019,ERP,Administración de actores del sistema,Asociar y desasociar usuarios internos a un equipo de trabajo
ERP-020,ERP,Administración de actores del sistema,Buscar supervisiones de usuarios
ERP-021,ERP,Administración de actores del sistema,Crear una  supervisión de un usuario
ERP-022,ERP,Administración de actores del sistema,Eliminar una  supervisión de un usuario
ERP-023,ERP,Administración de actores del sistema,Buscar supervisiones de equipos de trabajo
